#,Company,Website,HQ,NYC-Based,Sector,Subsector,Stage,Funding Amount,Funding Date,Lead Investors,Lead Contact,Contact Title,Why M&A Fits,Outreach Hook,Status,Last Action,Next Step,Notes
1,Function Health,functionhealth.com,"Austin, TX",No,Consumer Health,Lab testing & longevity,Series B,$298M,Nov 2025,"Redpoint, a16z, Battery Ventures",Jonathan Swerdlin,CEO,Rapidly scaling consumer health platform could acquire specialized diagnostic or wellness companies,$298M raise signals aggressive growth — acquisitions could accelerate product roadmap,Researching,,,
2,Eight Sleep,eightsleep.com,"New York, NY",Yes,Consumer Health,Sleep technology,Series D,$100M,Aug 2025,"Khosla Ventures, Founders Fund",Matteo Franceschetti,CEO & Co-Founder,Expanding into medical applications — could acquire sleep diagnostics or wearable sensor companies,Recent pivot into medical sleep applications creates natural M&A opportunities,Researching,,,
3,Nourish,usenourish.com,"New York, NY",Yes,Consumer Health,Nutrition telehealth,Series B,$70M,Apr 2025,"JP Morgan Growth Equity, Index Ventures, Thrive Capital",Sam Lomeli,CEO & Co-Founder,$1B+ valuation — could acquire complementary chronic disease management or dietitian platforms,Crossed $1B valuation — acquisitions in adjacent health coaching verticals could accelerate category leadership,Researching,,,
4,Fay Nutrition,faynutrition.com,United States,No,Consumer Health,Nutrition care,Series B,$60M,Feb 2025,Goldman Growth Equity,Management team,,Competing with Nourish — acquiring regional dietitian networks could drive differentiation,Goldman backing signals scale ambitions — M&A is a natural lever,Researching,,,
5,Inito,inito.com,"Bangalore, India (US ops)",No,Consumer Health,Fertility / at-home diagnostics,Series B,$29M,Dec 2025,"Bertelsmann India, Fireside Ventures",Aayush Rai,CEO,Expanding from fertility into broader at-home testing — could acquire diagnostic technology companies,AI-designed antibodies strategy creates acquisition opportunities in diagnostic biotech,Researching,,,
6,Diana Health,dianahealth.com,"New York, NY",Yes,Consumer Health,Women's healthcare,Series C,$55M,Sep 2025,"Norwest Venture Partners, HealthQuest Capital",Kate Condliffe,CEO & Co-Founder,Multi-service women's health platform — natural acquirer of specialized clinics or digital health tools,Expanding across multiple women's health verticals — acquisitions could fast-track expansion,Followed Up,Follow-up sent 2026-03-18,If no reply by 2026-04-01 — try alternate channel or warm intro,Initial outreach 2026-03-10 + follow-up 2026-03-18 — no response yet
7,Pomelo Care,pomelocare.com,"New York, NY",Yes,Consumer Health,Maternal & pediatric care,Series C,$92M,Jan 2026,"Andreessen Horowitz, Stripes",Marta Bralic Kerns,CEO & Founder,Tech-enabled maternity and pediatric care — could acquire remote monitoring or postpartum platforms,$92M raise with a16z backing signals scale-up phase,Researching,,,
8,Grow Therapy,growtherapy.com,"New York, NY",Yes,Consumer Health,Mental health / therapist marketplace,Series D,$150M,Mar 2026,"TCV, Goldman Sachs, Sequoia, SignalFire",Jake Cooper,CEO & Co-Founder,"$3B valuation, 7M+ visits — could acquire behavioral health practices or therapy tech tools",Just raised $150M at $3B valuation — actively building enterprise mental health offering,Researching,,,
9,Talkiatry,talkiatry.com,"New York, NY",Yes,Consumer Health,Digital psychiatry,Series D,$210M,Feb 2026,"Perceptive Advisors, a16z, Sofina",Robert Krayn,CEO & Co-Founder,Fastest-growing mental health platform — acquisitions of regional practices could accelerate national coverage,$210M raise nearly matched all prior funding combined — clearly in aggressive scale mode,Researching,,,
10,Pathos,pathos.com,"New York, NY",Yes,Consumer Health,Precision mental health medicines (AI),Series D,$365M,May 2025,"a16z, NEA, Revolution",Management team,,AI-driven drug development — could acquire clinical-stage biotech or diagnostic platforms,Largest single mental health startup investment ever ($365M),Researching,,,
11,Duos,duostech.com,United States,No,Consumer Health,AI digital health platform,Growth Equity,$130M,Oct 2025,FTV Capital,Management team,,AI-powered member activation — could acquire wellness engagement or benefits navigation tools,$130M growth equity positions them for platform expansion,Researching,,,
12,Radial,,,"New York, NY",Yes,Consumer Health,Mental health treatment (neuromodulation),Series A,$50M,Dec 2025,"General Catalyst, BoxGroup, Founder Collective",John Capecelatro,Co-Founder,Novel mental health treatment modalities — could acquire complementary therapy practices,$50M Series A from GC — moving fast and may need to acquire clinical capacity,Researching,,,
13,Rula Health,rula.com,"Los Angeles, CA",No,Consumer Health,Mental health provider network,Series C,$143M,Jul 2024,"Hedosophia, Sequoia",Josh Bruno,CEO & Co-Founder,"$471M annualized revenue, expanded to 50 states — could acquire regional provider groups",Massive revenue growth (100% YoY) and national expansion create natural acquisition opportunities,Researching,,,
14,SonderMind,sondermind.com,"Denver, CO",No,Consumer Health,Mental health services,Series C,$276M total,"2022-2025","Drive Capital, General Catalyst",Mark Frank,CEO,$1B valuation — could acquire therapy tech or specialty mental health practices,AI product launch in Oct 2025 signals tech-forward growth strategy,Researching,,,
15,Headway,headway.co,"New York, NY",Yes,Consumer Health,Mental health insurance platform,Series C,$100M,2024,"a16z ($2.3B valuation)",Andrew Adams,CEO & Co-Founder,Connecting therapists with insurance — could acquire credentialing tech or practice management tools,$2.3B valuation and insurance-focused model positions them for strategic acquisitions,Researching,,,
16,Conceivable Life Sciences,conceivablelifesciences.com,"New York, NY",Yes,Consumer Health,AI-automated IVF,Series A,$50M,Sep 2025,"ACME Capital, Artis Ventures",Joshua Abram,Co-Founder,Automated IVF labs — acquisitions of fertility clinic technology could accelerate scale,$88M total funding for AI IVF automation,Researching,,,
17,Curative,curative.com,"San Francisco, CA",No,Consumer Health,Health insurance,Series B,$153M,2025,DCVC,Fred Turner,CEO & Founder,Health insurance startup with $1B+ valuation — could acquire care delivery or benefits tech companies,Fresh unicorn status creates natural buyer profile,Researching,,,
18,Angle Health,anglehealth.com,"San Francisco, CA",No,Consumer Health,AI healthcare benefits,Series B,$134M,Dec 2025,Portage Ventures,Ty Amin,CEO & Co-Founder,AI-driven health insurance — could acquire benefits administration or health analytics companies,$134M Series B scaling fast in market ripe for consolidation,Researching,,,
19,Honest Health,honesthealth.com,"Nashville, TN",No,Consumer Health,Tech-enabled primary care,Growth,$140M,2025,NewSpring,Management team,,Value-based primary care — could acquire physician practices or care management technology,$140M for tech-enabled primary care — acquisitions of practices could accelerate network,Researching,,,
20,Hippocratic AI,hippocratic.ai,"Palo Alto, CA",No,Healthtech,Healthcare AI agents,Series C,$126M,Nov 2025,"Avenir Growth ($3.5B valuation)",Munjal Shah,CEO & Co-Founder,Building AI agents for healthcare — could acquire specialized clinical AI or NLP companies,$3.5B valuation on AI healthcare agents,Researching,,,
21,Tennr,tennr.com,"New York, NY",Yes,Healthtech,AI patient referrals,Series C,$101M,Jun 2025,"IVP, a16z, GV, Lightspeed",Tyler Johnson,CEO,Fastest-growing health tech fixing patient referrals — acquisitions of workflow automation tools,$605M valuation — acquisitions can extend beyond referrals into broader care coordination,Researching,,,
22,Inspiren,inspiren.com,"New York, NY",Yes,Healthtech,AI for senior living,Series B,$100M,Sep 2025,"Insight Partners, Scale Venture Partners",Michael Wang,Co-Founder,AI-powered monitoring for senior living — could acquire connected device or EHR integration companies,$100M Series B signals major scale-up across 30K+ US senior living communities,Followed Up,Follow-up sent 2026-03-18,If no reply by 2026-04-01 — try alternate channel or warm intro,Initial outreach 2026-03-10 + follow-up 2026-03-18 — no response yet
23,Paradigm,paradigm.com,"New York, NY",Yes,Healthtech,Clinical trial platform,Series B,$78M,Dec 2025,"ARCH Venture, General Catalyst, GV, Lux Capital",Jonathan Hirsch,Co-Founder,Patient recruitment and clinical trial efficiency — could acquire site networks or data analytics,$281M total raised — positioned to be a clinical trial platform consolidator,Researching,,,
24,Nabla,nabla.com,"New York, NY",Yes,Healthtech,AI for clinicians,Series C,$70M,2025,HV Capital,Alexandre Lebrun,CEO & Co-Founder,"AI assistant used by 85,000+ clinicians — could acquire EHR integration or documentation tools",Broad clinician adoption creates platform for acquiring complementary clinical AI tools,Researching,,,
25,Candid Health,candidhealth.com,"San Francisco, CA",No,Healthtech,Revenue cycle management,Series C,$52.5M,2025,Oak HC/FT,Management team,,AI-powered RCM — could acquire billing or denial management companies,RCM is a massive fragmented market — M&A is the playbook for category leadership,Researching,,,
